Type,Amount,size,Desc
10k,H,1206,
LM3404xx ,50,,1a buck converter
mic29372,14,,750ma Linear converter
bcv27,10,sot23,darlington transistor
50mhz eqzal,50,,oszillator
50k,20,tht,adjustor
47k,50,805,
1k,1000,805,
82k,200,805,
1Ohm,200,805,
10nf,100,805,x7r
100Ohm,3000,603,
100nf,200,603,
330uf,20,7343,6.3v
1k78,100,805,
2k7,150,805,
1k78,100,805,
10k,100,1206,
1m,50,1206,
2k21,50,805,
4m7,20,1206,
1m,2000,603,
2k21,100,805,
22k,200,1206,
1k,50,805,
2k2,50,805,
220k,200,805,
inductors,lots,1515~,unknown values
max4478a,1,,
l5970d,7,,A1 step down
74hc688,10,,
max4094asd+,2,,
l5970d,8,,
74lvc157apw,55,,multiplex
